Question,A,B,C,D,E,index,Answer,explaination
A patient with uncontrolled diabetes mellitus gets fungal infection. Microscopic examination of the fungus shows that the hyphae are septate and branch at more acute angles. What is the diagnosis?,A. Mucormycosis,B. Aspergillosis,C. Actinomyces israelii,D. Candida albicans,E. Blastomycosis,121.0,B. Aspergillosis,"The most common fungal infections involving maxil - lary sinuses are aspergillosis and mucormycosis. There are three types of bronchopulmonary aspergillosis infec - tions: invasive aspergillosis, chronic aspergillosis, and allergic aspergillosis. They can be expressed in two ways—noninvasive or invasive. These infections can be treated early without causing significant tissue damage if properly diagnosed. Immunocompromised persons are more susceptible to this infection, especially long- term uncontrolled diabetics. Uncontrolled diabetes mel - litus may alter the patient’s normal immunological response to infections. Biopsy specimens can be observed with acute angle hyphae (45 degrees) using Gomori methenamine silver or periodic acid-Schiff staining. If left untreated, invasive aspergillosis can have mortality approaching 100%. There is a need for exten - sive diagnostic testing in cases of suspected invasive aspergillosis but treatment should be started early to minimize morbidity and mortality."
"A 2-year-old boy presents with symptoms of large vol - ume, watery diarrhea for the last one day. Polymerase chain reaction testing of the stool sample yields a virus with a segmented, double-stranded RNA genome. Which organism is responsible for this presentation?",A. Rotavirus,B. Enteric coronaviruses,C. Norwalk virus,D. Calicivirus,E. Entamoeba histolytica,122.0,A. Rotavirus,"The major cause of serious, dehydrating gastroenteri - tis in children is a rotavirus infection. It commonly affects less than 5 years old. Acute watery diarrhea is most often due to rotavirus. In older children, it is most often due to E. coli  (ETEC). Rotavirus infects primarily enterocytes and contributes to diarrhea due to the destruction of absorptive enterocytes. Rotavirus infec - tion control is based on prevention and treatment of dehydration."
"A 50-year-old woman is admitted to the hospital with fever, headache, confusion, and ataxia. Similar cases are also reported in a neighboring hospital. Which organism is most likely responsible for this outbreak?",A. Escherichia coli O157:H7,B. Streptococcus pneumoniae,C. Klebsiella pneumoniae,D. Vibrio cholerae,E. Listeria monocytogenes,123.0,E. Listeria monocytogenes,"In immunosuppressed patients, neonates and older adults, pregnant women and sometimes previously healthy individuals are infected by bacterial pathogen, Listeria monocytogenes. Common clinical infestations are an invasion of nervous system including meningitis or meningoencephalitis."
Which of the following characteristics is an important virulence factor in Haemophilus influenzae type b?,A. Exotoxin,B. Polyribosyl ribitol phosphate,C. Endotoxin,D. Adhesins,E. Yersiniabactin,124.0,B. Polyribosyl ribitol phosphate,Haemophilus influenzae is a gram-negative coccoba - cillus. An essential virulence factor in the Haemophilus influenzae type b is a polyribosyl-ribitol (PRP) capsule. Polyribosyl-ribitol (PRP) is a capsular polysaccharide. This prevents phagocytosis of the type b H influenzae due to the absence of a certain anticapsular antibody.
Which of the following pathogens is a leading cause of atypical pneumonia?,A. Mycoplasma pneumoniae,B. Streptococcus pneumoniae,C. Haemophilus influenzae,D. Chlamydia pneumoniae,E. Legionella pneumophila,125.0,A. Mycoplasma pneumoniae,"Mycoplasma pneumoniae is a cause of atypical (walking) pneumonia. It lacks a cell wall and is there - fore, not visible on the gram stain. It is one of the small - est free-living pathogens. Due to the lack of cell wall, it is not susceptible to antibiotics such as penicillins. Patients usually present with mild infections of the respiratory system. Imaging studies show unilateral, multilobar, or bilateral infiltrates. Outbreaks are fre - quently seen among military recruits and in prisons. It is associated with cold agglutinin (IgM) autoimmune hemolytic anemia."
Which of the following requires airborne precautions?,A. Disseminated varicella zoster,B. Allergic contact dermatitis,C. Influenza A,D. Rubella,E. Ebola,126.0,A. Disseminated varicella zoster,"Varicella zoster is highly infectious. In patients with disseminated herpes zoster, precautions are to be taken until lesions are dry and crusted. Varicella zoster infec - tion has two distinct diseases. Primary infection results in varicella (chickenpox) which consists of vesicular lesions on face trunk and extremities. Herpes Zoster occurs from the reactivation of latent VZV infection in sensory ganglia. Immunocompromised patients are at increased risk of developing varicella zoster."
"A 42-year-old patient presents with fever, sore throat, tachypnea and shortness of breath, and maculopapular rash on the trunk is hospitalized in the emergency. Patients also developed bleeding in the stool, petechiae, ecchymoses, oozing from venipuncture sites and muco - sal bleeding. Patient also develops meningoencephalitis. Unfortunately the patient died due to multi-organ failure  32 and shock. Which of the following infectious agents is most likely to produce these findings?",A. Influenza virus,B. Ebola virus,C. Lassa virus,D. Yellow fever virus,E. Cytomegalovirus,127.0,B. Ebola virus,"Ebola virus is the Filoviridae family consisting of three different genera: Ebola virus, Marburgvirus, and Cuevavirus. Ebola virus is transmitted by contact with fomites, symptomatic individuals, and infected corpse. Viable virus has been isolated up to 7 days after death. There have been numerous infections during mourning and funeral or while the bodies have been removed or transported by burial teams. Therefore, appropriate safety precautions should be taken."
" A 40-year-old homosexual man presents with anorec - tal spasms, pain, bloody discharge, and peri-anal sores. Patients also reported a genital ulcer. Which of the following is responsible for this patient conditions?",A. Human papillomavirus,B. Trichomoniasis,C. Chlamydia trachomatis,D. Neisseria gonorrhoeae,E. Herpes simplex virus (HSV) infection,128.0,C. Chlamydia trachomatis,"Chlamydia trachomatis L1, L2, and L3 serovars causes Lymphogranuloma venereum (LGV). Patients present with ulcerative disease. The ulcers are usually small. After the resolution of ulcers, there are two main presentations of this disease: the classical inguinal syn - drome and the anorectal syndrome. Inguinal syndrome causes inguinal lymphadenopathy with the formation of buboes (unilateral painful inguinal lymph nodes). Anorectal symptoms include fever, spasms, anal pain, perianal sores, bloody discharge, constipation, and tenesmus."
 Which of the following pathogenic bacteria produces swarming growth on blood agar?,A. Proteus species,B. Clostridium botulinum,C. Staphylococcus aureus,D. Escherichia coli,E. Klebsiella pneumoniae,129.0,A. Proteus species,Proteus species are gram-negative bacilli and belong to Enterobacteriaceae family. Proteus organisms cause infections in humans. Proteus species swarm on blood agar. They form concentric circles (swarming). Swarming growth on Blood Agar Proteus spp.
 Most common virus associated with laryngeal papilloma is:,A. HPV 6,B. HPV 24,C. HPV 32,D. HPV 36,E. HPV 17,130.0,A. HPV 6,"Recurrent respiratory papillomatosis (RRP) usually present with the development of small, wart-like growths (papillomas) in the respiratory tract. Papillomas can grow in any part of the respiratory tract. They are mostly found in the larynx and the vocal cords (laryngeal papil - lomatosis). Human papillomavirus (HPV) commonly causes recurrent respiratory papillomatosis. There are different subtypes of HPV . HPV 6 and HPV 11 account for about 90% cases of RRP."
 A photograph is shown below. What is the diagnosis?,A. Loa loa,B. Mansonella species,C. Brugia malayi,D. Brugia timori,E. Wuchereria bancrofti,131.0,C. Brugia malayi,"Brugia malayi is endemic in Asia. It results in lym - phatic filariasis. Brugia malayi can also cause pulmo -nary tropical eosinophilia. Brugia malayi circulates in the blood stream with nocturnal periodicity. Therefore, blood specimens should be collected between sunset and sunrise. The range of length of B. malayi is 175–230 μm."
 Which of the following organism requires fatty-  acid supplementation for growth?,A. Aspergillus fumigatus,B. Histoplasma capsulatum,C. Coccidioides immitis,D. Malassezia furfur,E. Candida albicans,132.0,D. Malassezia furfur,"Malassezia furfur requires fatty-acid supplementa - tion. M. Furfur causes tinea versicolor. Patients usually present with hypopigmented or hyperpigmented mac - ules. Common sites are upper trunk, proximal extremi - ties, neck, or face. It can also cause sepsis in patients who receive parenteral nutrition. The organism is iso - lated from skin scrapings from the hypopigmented epi - dermal patches. Classically, the fungal elements from the skin scrapings reveal yellow-green fluorescence under a wood lamp. Microscopically, they are described as spaghetti and meatballs because of the mixture of hyphal elements and yeast forms. Diagnosis is con - firmed with a potassium hydroxide (KOH) preparation."
" A 65-year-old man presents with fever, severe headache, and nuchal rigidity. Physical examination in the emer - gency department shows a Glasgow coma score of 7. Lumbar puncture reveals cloudy cerebrospinal fluid (CSF) with 1200 neutrophils/mm3, elevated protein, and decreased glucose. Which of the following is the most probable etiologic agent of this condition?",A. Arbovirus,B. Herpesvirus,C. Mycobacterium tuberculosis,D. Neisseria meningitidis,E. Streptococcus pneumoniae,133.0,E. Streptococcus pneumoniae,Bacterial meningitis in adults is usually caused by streptococcus pneumoniae. Other pathogens which can cause bacterial meningitis in adults are Neisseria meningitidis and Listeria monocytogenes. It is seen in patients over 50 years old. It may also be seen in patients with deficiencies in cell mediated immunity. Patients usually present with unexplained fever and headache. CSF findings show WBC count of 1000 to 5000/ microL.  Majority of WBCs are neutrophils (usually greater than 80%). Protein is usually more than 200 mg/ dL and glucose is less than 40 mg/dL.
" A 33-year-old woman presents with severe, acute, right upper quadrant abdominal pain. She had several months of bloody diarrhea. CT scan of the liver demonstrates lesions that are interpreted to be abscesses. Which of the following is the most likely cause of her illness?",A. Ascaris lumbricoides,B. Entamoeba histolytica,C. Enterobius vermicularis,D. Salmonella typhi,E. Shigellosis,134.0,B. Entamoeba histolytica,"Entamoeba histolytica is a protozoan parasite. Human infection occurs with ingestion of fecally contaminated food and water. Infected individuals most commonly have non-invasive disease with mild diarrhea and abdominal cramping. Almost 10% of the patients, though, will have an invasive, dysenteric course of dis - ease. Identification of E. histolytica can be made on morphology. Amebae may invade the cryptids of colonic glands and burrow down into the submucosa creating  36 flask-shaped ulcers. They can penetrate the portal venous system and spread to the liver, causing liver abscesses. E. histolytica cysts usually measure 10–15 μm and have four nuclei with centrally-located karyosomes. Diagnosis is made by examination of stool for parasites or stool E. histolytica antigen."
