id,Question,A,B,C,D,E,F
Set_22: q13,"A 59-year-old man has experienced headaches for the first time in his life for the last 1 month. He has noticed speech difficulties, weakness on the left side. MRI of the brain shows a 5 cm irregular mass in the cerebral hemisphere. Stereotactic biopsies of the masses is done. Microscopically biopsy shows pleomorphic cells positive for glial fibril - lary acidic protein (GFAP). What is the diagnosis?",Medulloblastoma,Ependymoma,Schwannoma,Glioblastoma,Meningioma,
Set_22: q14,"A 49-year-old male with acute myeloid leukemia (AML) presents with fever, headache, fatigue, weakness, and nausea. What is the diagnosis?",Acanthamoeba encephalitis,Aspergillosis,Histoplasmosis,Nocardiosis,Toxoplasmosis,
Set_22: q15,Inclusions in oligodendrocytes are a feature of:,Herpes simplex virus,Progressive multifocal leukoencephalopathy,Creutzfeldt–Jakob disease,Chronic inflammatory demyelinating polyneuropa - thy (CIDP),Pick disease,
Set_22: q16,Obstruction to the flow of CSF at the aqueduct of sylvius will lead to enlargement of:,All of the ventricles,Only lateral ventricle,Only fourth ventricle,Both lateral and third ventricles,Only third ventricle,
Set_22: q17,A 54-year-old man has an intradural cauda equina tumor. What is the most likely diagnosis?,Ependymoma,Paraganglioma,Glioblastoma,Astrocytoma,Oligodendroglioma,
Set_22: q18,"A 71-year-old female presents with increased memory loss and confusion. There is also difficulty with lan - guage, problems with reading, writing, and working with numbers according to her daughter. Microscopic picture of this disease shows neurofibrillary tangles and sensile plaques. What is the diagnosis?",Alzheimer disease,Vascular dementia,Lewy body dementia,Frontotemporal dementia,Mixed dementia22 Central Nervous System 177,
Set_22: q19,"Mononeuropathy, especially affecting the oculomotor nerve (cranial nerve III) occurs in which of the following medical conditions?",Hypertension,Diabetes mellitus,Cancer,Coronary heart disease,Metastatic tumor,
Set_22: q20,A 69-year-old male smoker with a prosthetic mitral valve undergoes a tooth extraction. Patient later devel - ops a low-grade fever (39 °C) and neurologic deficits. He subsequently dies. Microscopic picture shows necro - sis and abscess of the brain. What is the diagnosis?,Acute meningitis,Multiple brain abscesses,Meningoencephalitis,Metastatic lung cancer,Pale infarct,
Set_22: q21,"A 42-year-old male presents with headache, seizure. Imaging studies show a mass in the frontal lobe. Histologically, the gray matter is being infiltrated by tumor cells. Tumor cells with vesicular nuclei and peri - nuclear halos. What is the diagnosis?",Classic oligodendroglioma,Medulloblastoma,Glioblastoma,Astrocytoma,Ependymoma,
Set_22: q22,Which of the following tumor arises from Rathke’s pouch?,Oligodendroglioma,Craniopharyngioma,Meningioma,Schwannoma,Medulloblastoma,
Set_22: q23,A 40-year old man presents with symptoms of tinnitus and hearing loss. CT scan shows a mass at the cerebel - lopontine angle. What is the appropriate diagnosis?,Morton neuroma,Mucosal neuromatosis,Palisaded encapsulated neuroma,Neurofibroma,Schwannoma,
Set_22: q24,"A 45-year-old female presents with slurred speech, fatigue, dizziness, tingling or pain in parts of the body. Physical examination shows intention tremors and nys - tagmus. These symptoms are relapsing-remitting for the last 1 year. What is the diagnosis?",Sarcoidosis,Transverse myelitis,Vasculitis,Multiple sclerosis,Progressive multifocal leukoencephalitis,
Set_22: q25,Hyperacusis (increased sensitivity to sound) is an indica - tion of damage to which of the following cranial nerve?,Facial nerve (CN VII),Oculomotor nerve (CN III),Vagus nerve (CN X),Vestibulocochlear nerve (CN VIII),Glossopharyngeal nerve (CN IX),
Set_22: q26,"A 45-year-old HIV positive patient presents with head - ache, fever, muscle aches, and pains. MRI shows a ring- enhancing lesion. What is the diagnosis?",Toxoplasmosis,Brain abscess,Histoplasmosis,Lymphoma,Gliomas,
Set_22: q27,Photograph of an infant who died soon after birth is shown below. What is the diagnosis?,Anencephaly,Down syndrome,Fetal alcohol syndrome,Pediatric craniosynostosis,Rett syndrome,
Set_22: q28,A 55-year-old male patient with a history of chronic medical condition is brought to the emergency depart -Multiple Choice Questions 178 ment by his wife. CT scan of the head shows hemor - rhages in the basal ganglia. What is the diagnosis?,Pheochromocytoma,Systemic hypertension,Acute vasculitis,Myocardial Infarction,Multiple sclerosis,
Set_22: q29,"A 32-year-old male patient presents with visual impair - ment, diplopia, headache. MRI shows sellar mass. What is the diagnosis?",Glioblastoma multiforme,Low-grade astrocytoma,Pituitary adenoma,Meningioma,Primary CNS lymphoma,
Set_22: q30,A 47-year-old HIV positive patients present with fre - quent headaches. MRI shows a brain mass. What is the diagnosis?,Actinomycosis,Aspergillosis,Nocardia abscess,Histoplasmosis,Kaposi sarcoma,
Set_22: q31,"A hemangioblastoma is a benign, highly vascular tumor of the brain. Hemangioblastoma is seen in which of the following diseases?","Multiple endocrine neoplasia, type 2",Neurofibromatosis,Pheochromocytoma,Tuberous sclerosis complex,V on Hippel–Lindau disease,
Set_22: q32,Which of the following is the most frequent cause of subarachnoid hemorrhage?,Trigeminal neuralgia,Cavernous sinus syndrome,Migraine headache,Saccular aneurysm,Pituitary tumor,
Set_22: q33,Which of the following hemorrhage is because of rup - ture of bridging veins?,Subdural hemorrhage,Epidural hemorrhage,Subarachnoid hemorrhage,Intracerebral hemorrhage,Pontine hemorrhage,
Set_22: q34,"An 11-year-old boy presents with headaches, blurring of vision, and speech difficulty of gradual onset. CT scan of the head shows a small 5 cm cystic mass in the right cerebral hemisphere. Mass is removed and histologi - cally, it is composed of tumor cells with hyperchromatic nuclei. Cells stain for glial fibrillary acidic protein (GFAP). What is the diagnosis?",Tuberculoma,Meningioma,Ependymoma,Medulloblastoma,Astrocytoma,
Set_23: q1,Chlamydia trachomatis,Staphylococcus aureus,Haemophilus influenzae,Herpes simplex virus,Pseudomonas aeruginosa,,
Set_23: q2,"A 65-year-old male patient presents with a sensation of flashes or specks of dust in the vision (floaters), blurry vision in one eye, loss of peripheral vision in the left eye. Fundus examination shows dark uveal mass. What is the diagnosis?",Malignant hypertension,Trachoma,Vitamin A deficiency,Intraocular melanoma,Retinoblastoma,
Set_23: q3,"A 62-year-old man is suffering from chronic medical conditions such as hypertension, diabetes mellitus. His blood pressure is 140/90 and HbA1c of 9.8%. Fundus examination is shown below. What is the diagnosis?",Malignant hypertension,Glaucoma,Macular degeneration,Diabetes mellitus,Optic neuritis,
Set_23: q4,Which of the following tumors are most likely to metas - tasize to the eye?,Breast carcinoma,Ovarian carcinoma,Lung carcinoma,Renal cell carcinoma,Gastrointestinal carcinoma,
Set_23: q5,A middle aged patient with blood pressure of 170/110 is brought to the emergency department. His blood pressure is poorly controlled. Fundus examination is done. The picture is shown below. What are the findings?,Flame shaped hemorrhages,Copper wiring of arteriolar walls,Silver wiring of arteriolar walls,Cotton-wool spots,Cherry red spot  188,
Set_23: q6,What type of secondary malignancy is most likely to occur in the hereditary form of retinoblastoma?,Squamous cell carcinoma,Basal cell carcinoma,Osteosarcoma,Nasal cavity cancers,Lymphoma,
Set_23: q7,Trachoma is a major cause of blindness worldwide. Which of the following infectious agent is the cause of trachoma?,Chlamydia trachomatis,Staphylococcus aureus,Neisseria gonorrhoeae,Streptococcus pyogenes,Cytomegalovirus,
Set_23: q8,A 10-year-old child comes to pediatrician office with symptoms which include eyelid redness and swelling as well as eye skin swelling. There is also purulent nasal discharge. What is the diagnosis?,Cellulitis,Ocular herpes,Uveitis,Blepharitis,Endophthalmitis,
Set_23: q9,A 35-year-old man is receiving long-term high dose glu - cocorticoid therapy for a chronic medical condition. What ocular complication can develop because of long-term high dose glucocorticoid therapy?,Macular degeneration,Cataract,Nuclear sclerosis of the lens,Open-angle glaucoma,Sympathetic ophthalmia,
Set_23: q10,The Kayser Fleischer ring is an ophthalmologic finding. It is strongly associated with which of the following chronic medical condition?,Wilson’s disease,Biliary obstruction,Alcoholic cirrhosis,Cryptogenic cirrhosis,Viral induced hepatitis,
Set_23: q11,Diagram of a 62-year-old man is shown below. What is the diagnosis?,Diabetic cataract,Radiation therapy-induced cataract,Traumatic cataract,Uveitis cataract,Age related cataract,
Set_23: q12,What is the diagnosis of the eye lesion shown below:,Hordeolum,Chalazion,Basal cell carcinoma,Sebaceous gland carcinoma,Squamous cell carcinoma,
Set_23: q13,Which part of the eye is commonly involved in ocular tuberculosis?,Uveal tract,Sclera,Cornea,Lens,Retina,
Set_23: q14,Which of the following eye conditions will give rise to cherry red spot at the macula?,Acute angle-closure glaucoma,Anterior ischemic optic neuropathy,Retinal detachment,Central retinal artery occlusion,Vitreous hemorrhage,
Set_23: q15,Cupping of the optic disc without hemorrhage is seen in which of the following eye conditions?,Iritis,Closed-angle glaucoma,Episcleritis,Subconjunctival hemorrhage,Infectious keratitis,
Set_23: q16,Which of the following eye conditions give rise to night blindness as the earliest symptom?,Traumatic retinopathy,Retinal inflammatory diseases,Autoimmune paraneoplastic retinopathy23 The Eye 189,Drug toxicity,Retinitis pigmentosa,
Set_23: q17,A 2-year-old male child is brought to the pediatrician office by his mother. Funduscopic examination is done. It shows pale retina with prominent red macular changes. Which of the following eye condition is responsible for this child’s eye problems?,Sandhoff disease,Leigh syndrome,Neuronal ceroid lipofuscinoses,Tay-Sachs disease,GM1 gangliosidosis,
Set_23: q18,Which of the following medical conditions give rise to intraretinal hemorrhages?,Hereditary spherocytosis,Uveitis,Keratoconus,Keratomalacia,Sickle cell anemia,
Set_23: q19,Which of the following eye conditions lead to progres - sive thinning and cone-shaped protrusion of the cornea leading to visual impairment?,Keratoconus,Pterygium,Corneal ectasia,Interstitial keratitis,Pellucid marginal degeneration,
Set_23: q20,Which of the following eye conditions have plaques and nodule composed of lipid laden histiocytes in the skin especially the eyelids?,Diabetes mellitus,Xanthelasma,Necrobiotic xanthogranuloma,Tuberous xanthomas,Orbital lipogranulomas,
Set_23: q21,A 61-year-old female presents with painless proptosis of the left eye and diplopia. Imaging studies show a well- defined soft tissue mass within the left eye. Excision of the soft tissue mass is done. Microscopic picture shows large cystically dilated vascular channels with fibrous septae. What is the diagnosis?,Fibrous histiocytoma,Cavernous hemangioma,Hemangiopericytoma,Solitary fibrous tumor,Intraocular melanoma,
Set_23: q22,A 42-year-old female presents for an evaluation of an eyelid lesion. Biopsy of the lesion shows volcanic- craters. What is the diagnosis?,Basal cell carcinoma,Squamous cell carcinoma,Molluscum contagiosum,Melanoma,Pyogenic granuloma,
Set_23: q23,A 51-year-old male presents with bilateral blood vision and floaters. There is also bilateral intermediate uveitis. Which of the following entities would be consistent with this diagnosis?,Sarcoidosis,Non-Hodgkin lymphoma,Tuberculosis,Tularemia,Bartonella henselae,
